"","","","","/D Administrative Base Code","#D0110101","#D01102","#D0120101","#D0130201","#D01401","#D0140201","#D0140301","#D0210101","#D0210201","#D0210301","#D0220103","#D02202","#D02204","#D02206","#D02207","#D0310301","#D0310401","#D0310501","#D0310601","#D0310701","#D0310801","#D0310901","#D0311001","#D0311101","#D0311201","#D03113","#D03114","#D0311501","#D0312301","#D0320101","#D0320201","#D0320301","#D0330103","#D0330203","#D0330303","#D0330403","#D0330503","#D0330603","#D0330703","#D0331103","#D03312","#D03313","#D0331403","#D0331503","#D0331603","#D0331703","#D0331804","#D0331903","#D0332003","#D0332103"
"SURVEY YEAR Code","SURVEY YEAR","AREA Code","AREA","/D Administrative Base","#D0110101_Financial power index (Prefecture)[-]","#D01102_Real term balance of revenue to expenditure (Prefecture)[%]","#D0120101_Percentage of self-financial resources (Prefecture)[%]","#D0130201_Percentage of outstanding amount of local bonds to expenditure (Prefecture)[%]","#D01401_Real term of current balance (Prefecture)[%]","#D0140201_Percentage of investment expenditure (Prefecture)[%]","#D0140301_Percentage of revenues from local taxes and grants (Prefecture)[%]","#D0210101_Percentage of local taxes (Prefecture)[%]","#D0210201_Percentage of grants to local governments (Prefecture)[%]","#D0210301_Percentage of national disbursements (Prefecture)[%]","#D0220103_Resident tax per capita (Prefecture + Municipality)[thousand yen]","#D02202_Fixed assets tax per capita (Prefecture + Municipality)[thousand yen]","#D02204_Amount of national tax (per capita)[thousand yen]","#D02206_Taxable income (per tax debtor)[thousand yen]","#D02207_Ratio of taxpayer (per capita)[%]","#D0310301_Percentage of welfare expenditure (Prefecture)[%]","#D0310401_Percentage of social welfare expenditure (Prefecture)[%]","#D0310501_Percentage of welfare expenditure for the aged (Prefecture)[%]","#D0310601_Percentage of welfare expenditure for children (Prefecture)[%]","#D0310701_Percentage of expenditure for livelihood protection (Prefecture)[%]","#D0310801_Percentage of health expenditure (Prefecture)[%]","#D0310901_Percentage of labour expenditure (Prefecture)[%]","#D0311001_Percentage of agriculture, forestry and fishery expenditure (Prefecture)[%]","#D0311101_Percentage of commerce and manufacturing expenditure (Prefecture)[%]","#D0311201_Percentage of public works expenditure (Prefecture)[%]","#D03113_Percentage of police expenditure (Prefecture)[%]","#D03114_Percentage of fire service expenditure (Tokyo-to + Municipality)[%]","#D0311501_Percentage of education expenditure (Prefecture)[%]","#D0312301_Percentage of disaster relief expenditure (Prefecture)[%]","#D0320101_Percentage of personnel expenses (Prefecture)[%]","#D0320201_Percentage of allowances (Prefecture)[%]","#D0320301_Percentage of ordinary construction expenses (Prefecture)[%]","#D0330103_Total expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0330203_Welfare expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0330303_Social welfare expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0330403_Social welfare expenditure for aged persons per capita 65 years old and over (Prefecture + Municipality)[thousand yen]","#D0330503_Welfare expenditure for children per capita 0-17 years old (Prefecture + Municipality)[thousand yen]","#D0330603_Welfare expenditure for livelihood protection per person assisted by livelihood protection (Prefecture + Municipality)[thousand yen]","#D0330703_Health expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0331103_Public works expenditure per capita (Prefecture + Municipality)[thousand yen]","#D03312_Police expenditure per capita (Prefecture)[thousand yen]","#D03313_Fire service expenditure per capita (Tokyo-to + Municipality)[thousand yen]","#D0331403_Education expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0331503_Elementary school expenditure per student (Prefecture + Municipality)[thousand yen]","#D0331603_Lower secondary school expenditure per student (Prefecture + Municipality)[thousand yen]","#D0331703_Upper secondary school expenditure per student (Prefecture + Municipality)[thousand yen]","#D0331804_Expenditure for schools for special needs education per student (Prefecture + Municipality)[thousand yen]","#D0331903_Kindergarten expenditure per pupil (Prefecture + Municipality)[thousand yen]","#D0332003_Social education expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0332103_Disaster relief expenditure per capita (Prefecture + Municipality)[thousand yen]"
"1975100000","1975","09000","Tochigi-ken","","0.582","5.0","48.2","23.2","85.1","27.8","46.3","24.88","18.75","26.00","21.3","***","***","***","***","5.07","1.06","0.64","2.11","1.25","3.61","0.84","12.76","8.43","18.45","6.08","***","33.08","0.54","41.77","4.09","27.15","216.7","19.2","3.4","46.4","28.3","524.0","11.7","40.0","7.5","***","60.5","259.9","291.7","350.2","***","9.6","2.6","0.7"
"1975100000","1975","10000","Gumma-ken","","0.558","0.0","43.4","21.4","87.4","28.7","44.2","23.77","18.94","28.28","18.7","***","***","***","***","6.15","2.27","0.84","1.72","1.29","3.44","0.90","13.92","8.00","18.27","5.81","***","33.96","1.07","43.05","3.96","27.58","226.9","23.1","5.9","50.9","31.1","546.0","11.2","40.3","6.9","***","63.4","246.3","282.3","396.9","***","65.7","3.0","1.6"
"1975100000","1975","11000","Saitama-ken","","0.788","0.3","52.5","25.8","88.0","25.5","48.0","34.14","12.32","23.77","23.9","***","***","***","***","5.79","2.24","0.83","1.90","0.80","4.59","0.75","6.44","6.71","19.48","7.31","***","37.92","0.58","46.30","2.67","24.95","168.2","16.8","4.0","58.6","21.5","509.1","13.4","29.4","5.5","***","53.1","232.9","308.0","402.7","***","23.4","2.3","0.5"
"1975100000","1975","12000","Chiba-ken","","0.727","0.5","49.0","37.5","83.0","34.4","46.6","31.33","13.82","25.27","24.4","***","***","***","***","4.26","0.94","0.72","1.72","0.88","4.54","0.43","12.66","3.40","22.26","6.54","***","34.15","0.87","41.01","3.06","33.57","184.7","16.7","3.2","47.7","24.5","533.2","14.5","36.8","5.7","***","53.2","224.1","272.7","397.8","***","25.2","2.7","1.0"
"1975100000","1975","13000","Tokyo-to","","1.187","-5.1","72.5","59.2","102.7","19.5","61.1","60.14","0.00","10.82","50.5","***","***","***","***","7.23","2.93","1.82","2.15","0.30","10.14","1.06","0.41","3.59","19.05","10.88","***","19.89","0.08","39.99","1.77","18.98","248.0","33.4","7.9","99.3","47.3","685.3","21.8","43.6","17.6","***","58.8","296.4","386.0","454.5","***","51.2","2.3","0.1"
"1975100000","1975","14000","Kanagawa-ken","","1.049","-2.0","63.8","38.9","104.3","19.7","50.2","47.61","2.11","18.36","33.7","***","***","***","***","4.60","1.76","0.94","1.49","0.38","5.19","1.55","3.91","4.90","13.05","11.88","***","40.50","0.50","51.36","2.67","18.86","179.7","17.9","4.6","55.4","21.3","565.4","17.2","37.3","8.9","***","50.7","227.1","304.4","588.0","***","11.7","1.0","0.5"
"1975100000","1975","15000","Niigata-ken","","0.400","-1.2","31.9","32.2","79.0","37.7","45.3","18.38","25.43","33.93","18.9","***","***","***","***","3.70","0.59","0.68","1.35","1.09","4.62","0.59","14.90","4.42","23.23","4.89","***","31.57","3.51","39.71","2.84","34.04","260.9","22.7","3.3","51.1","37.2","539.7","19.0","53.1","7.4","***","67.0","267.8","321.9","342.4","***","40.4","2.4","6.6"
"1975100000","1975","16000","Toyama-ken","","0.473","0.1","36.0","37.7","78.1","37.8","44.0","20.37","22.08","30.31","22.1","***","***","***","***","4.00","0.82","0.84","1.83","0.51","3.90","0.83","19.14","4.65","19.77","5.72","***","29.00","2.92","39.01","2.18","34.79","260.4","24.2","3.3","58.3","44.0","666.5","13.2","46.7","9.1","***","62.8","257.0","307.8","375.7","***","45.9","3.1","6.0"
"1975100000","1975","17000","Ishikawa-ken","","0.474","-3.5","39.4","37.0","82.2","35.8","46.4","22.48","23.15","26.64","23.1","***","***","***","***","4.99","0.84","1.26","2.07","0.82","4.72","0.78","13.75","8.01","22.08","5.24","***","28.23","2.10","37.07","2.69","33.54","271.2","29.7","3.6","70.6","53.9","637.0","17.5","54.4","8.2","***","63.8","268.2","277.9","363.3","***","28.4","3.4","4.9"
"1975100000","1975","18000","Fukui-ken","","0.385","0.3","32.4","37.0","80.7","38.8","46.0","16.78","27.48","31.55","20.4","***","***","***","***","4.92","1.43","0.83","1.84","0.81","4.19","0.75","16.98","5.81","20.77","5.34","***","27.47","2.82","37.39","2.81","35.75","312.6","29.4","5.8","56.1","50.6","598.9","17.0","59.7","9.8","***","74.3","299.6","325.2","397.8","***","88.2","5.2","6.3"
"1975100000","1975","19000","Yamanashi-ken","","0.321","-0.1","27.8","26.6","81.8","36.5","45.2","14.27","29.00","32.53","15.7","***","***","***","***","5.80","1.23","1.17","1.90","1.49","4.26","0.58","16.30","5.98","19.36","5.25","***","28.72","2.89","39.48","3.41","33.62","284.0","28.3","4.7","62.4","42.5","639.8","17.1","49.4","8.9","***","69.0","252.4","291.1","337.4","***","6.3","3.6","6.3"
"1975100000","1975","20000","Nagano-ken","","0.470","-1.6","35.6","30.6","87.8","31.0","44.4","20.74","22.33","31.07","19.1","***","***","***","***","5.85","1.28","1.19","1.57","1.81","3.76","1.06","14.46","7.71","18.66","4.93","***","32.96","2.24","42.35","4.36","28.63","256.9","30.2","6.1","70.2","42.2","611.8","13.0","44.5","6.8","***","65.1","265.5","287.0","344.9","***","20.9","2.5","5.2"
