"","","","","/D Administrative Base Code","#D0110101","#D01102","#D0120101","#D0130201","#D01401","#D0140201","#D0140301","#D0210101","#D0210201","#D0210301","#D0220103","#D02202","#D02204","#D02206","#D02207","#D0310301","#D0310401","#D0310501","#D0310601","#D0310701","#D0310801","#D0310901","#D0311001","#D0311101","#D0311201","#D03113","#D03114","#D0311501","#D0312301","#D0320101","#D0320201","#D0320301","#D0330103","#D0330203","#D0330303","#D0330403","#D0330503","#D0330603","#D0330703","#D0331103","#D03312","#D03313","#D0331403","#D0331503","#D0331603","#D0331703","#D0331804","#D0331903","#D0332003","#D0332103"
"SURVEY YEAR Code","SURVEY YEAR","AREA Code","AREA","/D Administrative Base","#D0110101_Financial power index (Prefecture)[-]","#D01102_Real term balance of revenue to expenditure (Prefecture)[%]","#D0120101_Percentage of self-financial resources (Prefecture)[%]","#D0130201_Percentage of outstanding amount of local bonds to expenditure (Prefecture)[%]","#D01401_Real term of current balance (Prefecture)[%]","#D0140201_Percentage of investment expenditure (Prefecture)[%]","#D0140301_Percentage of revenues from local taxes and grants (Prefecture)[%]","#D0210101_Percentage of local taxes (Prefecture)[%]","#D0210201_Percentage of grants to local governments (Prefecture)[%]","#D0210301_Percentage of national disbursements (Prefecture)[%]","#D0220103_Resident tax per capita (Prefecture + Municipality)[thousand yen]","#D02202_Fixed assets tax per capita (Prefecture + Municipality)[thousand yen]","#D02204_Amount of national tax (per capita)[thousand yen]","#D02206_Taxable income (per tax debtor)[thousand yen]","#D02207_Ratio of taxpayer (per capita)[%]","#D0310301_Percentage of welfare expenditure (Prefecture)[%]","#D0310401_Percentage of social welfare expenditure (Prefecture)[%]","#D0310501_Percentage of welfare expenditure for the aged (Prefecture)[%]","#D0310601_Percentage of welfare expenditure for children (Prefecture)[%]","#D0310701_Percentage of expenditure for livelihood protection (Prefecture)[%]","#D0310801_Percentage of health expenditure (Prefecture)[%]","#D0310901_Percentage of labour expenditure (Prefecture)[%]","#D0311001_Percentage of agriculture, forestry and fishery expenditure (Prefecture)[%]","#D0311101_Percentage of commerce and manufacturing expenditure (Prefecture)[%]","#D0311201_Percentage of public works expenditure (Prefecture)[%]","#D03113_Percentage of police expenditure (Prefecture)[%]","#D03114_Percentage of fire service expenditure (Tokyo-to + Municipality)[%]","#D0311501_Percentage of education expenditure (Prefecture)[%]","#D0312301_Percentage of disaster relief expenditure (Prefecture)[%]","#D0320101_Percentage of personnel expenses (Prefecture)[%]","#D0320201_Percentage of allowances (Prefecture)[%]","#D0320301_Percentage of ordinary construction expenses (Prefecture)[%]","#D0330103_Total expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0330203_Welfare expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0330303_Social welfare expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0330403_Social welfare expenditure for aged persons per capita 65 years old and over (Prefecture + Municipality)[thousand yen]","#D0330503_Welfare expenditure for children per capita 0-17 years old (Prefecture + Municipality)[thousand yen]","#D0330603_Welfare expenditure for livelihood protection per person assisted by livelihood protection (Prefecture + Municipality)[thousand yen]","#D0330703_Health expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0331103_Public works expenditure per capita (Prefecture + Municipality)[thousand yen]","#D03312_Police expenditure per capita (Prefecture)[thousand yen]","#D03313_Fire service expenditure per capita (Tokyo-to + Municipality)[thousand yen]","#D0331403_Education expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0331503_Elementary school expenditure per student (Prefecture + Municipality)[thousand yen]","#D0331603_Lower secondary school expenditure per student (Prefecture + Municipality)[thousand yen]","#D0331703_Upper secondary school expenditure per student (Prefecture + Municipality)[thousand yen]","#D0331804_Expenditure for schools for special needs education per student (Prefecture + Municipality)[thousand yen]","#D0331903_Kindergarten expenditure per pupil (Prefecture + Municipality)[thousand yen]","#D0332003_Social education expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0332103_Disaster relief expenditure per capita (Prefecture + Municipality)[thousand yen]"
"1977100000","1977","22000","Shizuoka-ken","","0.765","1.3","52.0","46.9","78.2","33.4","49.9","37.32","10.51","28.16","33.3","***","***","***","***","4.26","1.21","0.72","1.67","0.59","3.67","0.56","11.99","3.63","20.54","6.81","***","33.21","2.28","41.34","3.02","31.10","256.6","21.7","4.3","58.0","***","671.5","15.8","54.1","8.9","***","68.4","278.6","326.1","391.7","***","86.9","3.5","4.5"
"1977100000","1977","23000","Aichi-ken","","0.975","0.4","65.8","42.0","87.2","27.9","53.7","51.41","1.29","21.73","44.7","***","***","***","***","4.83","1.73","1.10","1.59","0.39","3.92","0.99","8.28","6.89","18.72","8.95","***","33.01","0.84","41.18","2.86","26.86","265.5","28.8","5.8","79.9","***","734.1","18.2","57.0","11.1","***","67.6","264.6","316.1","469.4","***","35.4","3.3","1.3"
"1977100000","1977","24000","Mie-ken","","0.480","1.2","35.1","40.8","79.5","35.2","48.0","23.05","23.06","30.46","27.6","***","***","***","***","6.06","1.96","0.85","1.41","1.84","4.84","0.75","13.62","3.29","21.43","5.23","***","30.39","3.10","39.44","4.02","31.81","317.8","35.9","8.1","66.8","***","711.2","20.2","69.3","8.6","***","74.5","308.0","313.3","400.0","***","135.8","2.6","7.4"
"1977100000","1977","25000","Shiga-ken","","0.476","1.7","41.6","44.1","77.5","36.5","45.6","21.92","21.68","26.12","29.9","***","***","***","***","5.18","1.25","1.00","1.66","1.25","4.41","0.85","17.15","4.17","19.62","5.11","***","27.36","2.03","34.34","2.55","34.44","344.5","29.8","7.4","63.9","***","664.5","19.6","70.4","9.5","***","82.4","273.5","405.5","403.4","***","170.9","5.2","4.3"
"1977100000","1977","26000","Kyoto-fu","","0.677","0.3","52.2","39.7","79.1","21.1","57.8","39.43","16.92","23.28","40.4","***","***","***","***","5.56","1.86","1.14","1.26","1.31","3.83","2.00","5.79","6.19","12.28","12.72","***","37.02","1.71","50.84","2.41","18.25","274.1","38.9","7.6","76.2","***","691.8","20.0","47.6","14.4","***","68.8","299.1","378.8","492.9","***","56.5","2.4","3.2"
"1977100000","1977","27000","Osaka-fu","","1.051","-4.5","62.5","76.5","101.9","20.9","49.7","49.30","0.64","16.78","46.0","***","***","***","***","5.92","1.76","2.14","1.71","0.29","4.52","1.11","1.94","5.35","16.16","12.11","***","36.93","0.06","46.37","1.71","20.73","293.2","39.4","7.0","126.0","***","884.9","25.8","58.5","14.1","***","75.8","270.7","374.9","552.4","***","78.8","3.0","0.1"
"1977100000","1977","28000","Hyogo-ken","","0.692","0.3","45.7","66.4","84.8","31.5","48.9","33.13","14.16","26.29","38.8","***","***","***","***","4.70","1.17","1.27","1.49","0.74","3.20","1.13","7.06","4.04","19.06","8.85","***","35.44","4.92","42.17","2.06","26.38","304.3","32.4","6.9","87.6","***","711.0","20.7","68.0","11.6","***","74.3","273.3","329.1","558.4","***","116.1","3.7","10.2"
"1977100000","1977","29000","Nara-ken","","0.378","1.2","33.6","35.4","79.8","32.9","49.0","19.38","27.89","28.59","29.6","***","***","***","***","6.90","3.06","0.76","1.62","1.46","3.61","1.34","8.14","8.00","22.45","5.60","***","32.58","1.80","39.05","3.31","30.54","300.1","35.1","10.4","78.2","***","586.3","19.2","57.5","8.5","***","83.8","318.8","371.5","418.0","***","156.5","5.3","4.0"
"1977100000","1977","30000","Wakayama-ken","","0.375","0.3","32.1","33.3","84.2","31.2","46.7","18.64","26.59","30.10","25.2","***","***","***","***","9.50","4.56","1.24","2.03","1.67","4.01","0.98","13.91","5.26","17.96","5.28","***","30.81","2.19","42.06","4.13","28.71","358.5","46.0","14.3","85.5","***","641.3","20.1","73.1","10.1","***","81.7","307.6","358.8","372.6","***","78.3","4.0","7.2"
"1977100000","1977","31000","Tottori-ken","","0.273","1.7","27.6","38.4","77.6","41.4","38.9","11.38","25.98","33.16","22.4","***","***","***","***","5.78","1.22","1.00","2.26","1.29","3.98","0.46","17.36","9.52","24.40","4.21","***","22.31","2.32","30.39","3.38","38.93","466.3","45.5","8.8","83.1","***","654.5","22.4","101.7","12.2","***","88.0","327.0","410.2","466.8","***","47.6","6.8","8.6"
"1977100000","1977","32000","Shimane-ken","","0.250","1.0","23.1","39.9","80.8","40.7","40.0","10.38","27.91","36.16","21.0","***","***","***","***","5.86","1.16","1.48","1.50","1.70","3.19","0.64","18.66","5.72","22.15","4.48","***","25.85","3.36","33.66","3.85","37.32","476.5","44.1","8.3","93.8","***","626.9","20.9","96.6","12.6","***","100.6","407.4","436.0","488.8","***","137.5","3.8","17.4"
"1977100000","1977","33000","Okayama-ken","","0.531","0.5","37.2","38.7","79.1","34.8","45.0","23.20","20.21","31.89","29.0","***","***","***","***","5.48","1.34","1.06","1.57","1.50","3.15","0.86","12.98","5.59","20.11","5.76","***","28.53","5.18","37.80","2.89","29.42","338.4","36.9","7.1","79.8","***","713.4","20.0","64.7","10.0","***","75.4","296.3","360.1","382.3","***","142.6","3.7","16.2"
"1977100000","1977","34000","Hiroshima-ken","","0.657","0.5","40.0","46.0","78.4","30.6","48.2","30.28","16.45","30.00","34.8","***","***","***","***","6.05","1.40","1.34","1.94","1.33","4.04","1.11","10.91","7.36","19.06","6.35","***","32.60","2.08","40.92","5.03","28.01","295.8","32.7","6.0","81.3","***","691.4","21.2","52.0","9.1","***","76.4","321.4","380.9","438.2","***","49.7","3.9","5.2"
"1977100000","1977","35000","Yamaguchi-ken","","0.487","0.7","35.6","43.7","81.7","33.7","47.2","22.31","23.47","28.77","30.2","***","***","***","***","5.70","1.36","1.38","1.73","1.22","3.80","1.02","10.93","6.54","23.19","6.67","***","30.49","2.37","39.69","4.14","31.19","332.3","35.6","7.6","88.0","***","713.6","18.1","72.8","11.8","***","76.1","286.4","357.3","466.3","***","38.5","5.3","7.2"
"1977100000","1977","36000","Tokushima-ken","","0.280","0.7","29.7","36.9","79.5","35.2","40.2","12.49","25.99","34.26","22.8","***","***","***","***","7.54","1.36","1.27","2.03","2.87","4.41","0.75","12.94","6.86","20.93","4.34","***","24.04","6.56","32.53","5.67","28.44","432.7","49.8","10.1","103.2","***","688.8","23.1","90.4","10.9","***","88.9","380.4","361.3","424.6","***","141.5","3.4","23.9"
"1977100000","1977","37000","Kagawa-ken","","0.468","1.4","37.2","31.0","73.0","37.3","45.2","21.48","21.84","32.14","31.3","***","***","***","***","7.21","2.10","1.70","1.81","1.59","4.48","0.70","10.23","6.11","22.15","5.64","***","27.36","7.98","35.67","4.59","29.03","345.4","38.9","7.9","99.9","***","653.1","20.2","69.3","10.4","***","76.0","302.1","325.8","424.9","***","127.8","4.0","26.5"
"1977100000","1977","38000","Ehime-ken","","0.375","0.6","29.0","37.7","71.1","42.0","43.0","16.46","24.06","36.07","23.2","***","***","***","***","5.83","1.23","1.33","1.70","1.55","4.11","0.33","13.84","3.67","23.32","4.85","***","28.53","7.82","35.81","4.11","34.11","339.9","41.2","8.2","96.7","***","754.2","18.8","69.0","9.0","***","74.1","285.5","321.3","370.1","***","37.6","4.9","23.2"
"1977100000","1977","39000","Kochi-ken","","0.268","0.9","21.6","40.9","82.7","47.0","35.9","10.12","24.20","41.71","23.1","***","***","***","***","6.45","1.27","1.13","1.50","2.55","4.20","0.70","13.64","3.84","24.85","3.67","***","21.82","11.45","28.60","5.09","35.15","516.9","66.9","10.9","113.4","***","836.3","27.1","107.9","11.1","***","90.0","403.5","506.6","492.1","***","35.9","4.7","55.5"
"1977100000","1977","40000","Fukuoka-ken","","0.570","0.8","38.6","48.3","87.9","24.9","50.3","29.53","19.41","30.27","30.6","***","***","***","***","10.35","1.31","1.17","1.43","6.42","3.42","4.19","7.89","2.53","13.92","8.88","***","34.32","2.33","44.81","8.84","19.41","318.1","52.1","6.9","92.7","***","653.2","19.4","64.0","11.5","***","70.5","283.6","359.6","408.6","***","32.2","4.5","4.9"
"1977100000","1977","41000","Saga-ken","","0.281","0.8","24.0","42.5","83.1","41.0","40.7","13.18","26.36","35.67","20.9","***","***","***","***","5.73","1.23","1.21","1.52","1.77","3.07","1.24","18.35","6.18","19.05","4.55","***","27.42","4.91","34.78","4.53","35.48","382.8","40.4","6.4","98.4","***","657.3","15.4","67.1","10.5","***","83.9","288.3","352.0","442.8","***","29.0","4.4","19.0"
"1977100000","1977","42000","Nagasaki-ken","","0.287","0.6","25.3","35.8","84.0","32.1","43.0","14.27","27.67","35.50","21.4","***","***","***","***","8.26","1.54","1.44","2.21","3.06","4.30","1.03","14.03","4.04","17.87","6.19","***","33.51","1.79","40.90","7.51","29.89","351.2","50.5","11.3","95.2","***","666.6","22.9","57.4","11.9","***","85.3","293.9","343.6","424.1","***","53.7","3.5","7.3"
"1977100000","1977","43000","Kumamoto-ken","","0.316","1.0","26.9","32.0","78.5","34.4","44.1","15.50","26.59","35.65","20.5","***","***","***","***","7.65","0.94","1.60","1.96","3.14","3.87","0.60","18.55","3.57","17.98","5.07","***","31.00","2.19","38.81","7.42","32.05","336.9","43.7","5.5","97.1","***","723.8","17.4","59.6","9.2","***","81.6","330.9","382.3","408.2","***","47.2","4.2","7.0"
"1977100000","1977","44000","Oita-ken","","0.325","0.9","26.4","42.6","81.4","37.4","43.2","15.19","26.47","34.66","22.2","***","***","***","***","5.41","0.76","1.22","1.75","1.67","3.58","0.88","17.33","3.49","21.69","4.50","***","29.89","3.22","38.86","4.79","33.86","370.1","39.7","5.4","102.9","***","724.3","19.1","73.2","9.4","***","85.4","332.1","363.6","407.6","***","106.4","4.8","11.0"
"1977100000","1977","45000","Miyazaki-ken","","0.289","0.2","21.9","39.8","81.6","41.1","42.3","13.34","27.52","37.66","18.4","***","***","***","***","6.07","1.03","1.12","1.76","2.14","3.53","0.72","18.14","2.45","22.32","4.74","***","27.47","4.99","35.87","5.25","35.82","368.7","41.5","5.2","90.9","***","671.5","16.2","78.8","10.1","***","78.2","295.9","341.0","414.3","***","24.7","3.2","16.0"
"1977100000","1977","46000","Kagoshima-ken","","0.262","1.0","20.8","32.2","83.9","37.2","41.4","12.23","27.58","40.25","18.1","***","***","***","***","8.22","1.25","1.58","1.94","3.03","3.79","0.83","19.43","2.60","18.28","4.49","***","30.27","4.09","38.15","6.82","32.79","376.1","43.9","6.2","93.7","***","591.5","18.2","67.6","9.5","***","88.3","332.5","382.9","379.2","***","38.5","4.8","16.0"
"1977100000","1977","47000","Okinawa-ken","","0.245","2.2","16.6","22.7","89.9","37.0","44.6","11.38","32.25","43.49","14.4","***","***","***","***","6.26","1.29","0.96","2.28","1.70","5.82","0.97","14.34","2.04","20.63","5.99","***","36.01","0.52","42.48","4.26","36.47","336.6","37.2","5.9","62.1","***","367.2","20.5","67.2","11.5","***","105.4","332.6","370.5","471.6","***","151.8","3.2","1.4"
"1978100000","1978","00000","All Japan","","0.450","-0.1","43.0","49.4","77.5","32.1","49.0","29.54","18.15","27.23","40.2","***","***","***","***","5.99","1.61","1.29","1.68","1.39","4.32","0.92","12.09","4.63","20.32","6.76","***","29.44","1.28","37.53","3.53","30.56","354.2","39.7","7.6","101.2","***","805.0","22.6","71.6","12.3","***","86.5","325.3","401.4","506.8","***","72.0","4.6","3.6"
"1978100000","1978","01000","Hokkaido","","0.419","2.0","32.1","32.2","77.5","40.1","42.0","18.78","21.64","35.87","33.1","***","***","***","***","5.78","1.24","1.10","1.13","2.29","3.64","0.82","23.11","3.97","18.64","4.89","***","26.92","1.50","32.70","4.43","38.38","460.5","49.2","9.0","147.9","***","867.6","25.3","93.3","10.9","***","100.8","385.3","480.4","536.3","***","44.9","4.1","5.6"
"1978100000","1978","02000","Aomori-ken","","0.269","0.6","22.0","47.7","80.7","42.7","40.7","12.63","26.92","37.28","22.3","***","***","***","***","6.39","1.18","0.91","1.76","2.53","3.58","0.84","19.18","2.52","20.63","4.19","***","27.50","4.58","33.27","4.65","37.94","427.6","47.4","6.7","102.7","***","687.1","22.6","79.5","10.3","***","97.7","351.2","400.8","496.1","***","36.4","5.2","17.2"
"1978100000","1978","03000","Iwate-ken","","0.256","0.7","23.8","43.6","72.1","40.7","43.3","12.23","29.53","33.93","22.7","***","***","***","***","6.18","1.86","0.95","1.56","1.80","5.02","0.58","21.57","3.73","18.74","3.86","***","29.19","1.20","34.22","3.70","39.42","448.2","41.9","8.8","107.5","***","608.3","25.3","83.9","9.7","***","109.6","409.2","429.5","484.4","***","59.6","6.5","5.1"
"1978100000","1978","04000","Miyagi-ken","","0.473","0.9","35.3","43.6","76.8","37.5","47.4","24.05","21.82","30.52","32.4","***","***","***","***","6.12","1.25","0.89","1.90","1.84","2.99","0.83","16.69","3.30","19.57","5.63","***","30.14","3.89","37.58","3.99","33.47","337.6","30.0","5.0","81.1","***","704.3","19.2","63.9","10.1","***","85.5","326.9","395.5","485.3","***","50.0","4.7","10.6"
"1978100000","1978","05000","Akita-ken","","0.262","0.6","25.8","48.0","77.3","39.9","40.0","11.88","26.95","34.06","22.9","***","***","***","***","5.73","1.58","1.07","1.46","1.62","3.03","0.76","21.60","4.69","22.24","4.07","***","25.33","1.84","31.70","3.01","37.91","458.1","41.8","9.1","112.0","***","736.9","19.9","90.5","11.1","***","105.2","443.0","463.2","486.9","***","48.5","7.2","6.2"
"1978100000","1978","06000","Yamagata-ken","","0.290","0.7","25.7","44.8","75.4","41.9","40.9","13.39","26.20","33.44","24.6","***","***","***","***","3.99","1.20","0.62","1.31","0.85","3.90","0.76","18.32","5.78","22.20","4.27","***","27.29","2.57","34.25","2.25","39.22","419.3","32.0","6.8","69.9","***","649.2","22.9","81.6","11.2","***","102.3","393.6","437.8","525.8","***","22.0","5.5","8.5"
"1978100000","1978","07000","Fukushima-ken","","0.361","1.6","30.1","39.1","76.1","39.2","43.6","17.03","24.90","33.36","24.3","***","***","***","***","4.18","0.87","0.74","1.24","1.33","4.31","0.94","16.37","3.92","22.64","4.49","***","30.66","3.10","36.35","3.29","35.52","383.8","30.4","5.2","74.2","***","776.6","20.5","81.5","9.8","***","96.9","356.2","418.8","425.0","***","90.4","5.7","9.2"
"1978100000","1978","08000","Ibaraki-ken","","0.489","1.1","42.1","34.7","74.0","32.5","48.0","25.09","21.34","26.77","29.3","***","***","***","***","5.33","1.53","0.90","1.48","1.41","4.45","0.61","14.39","3.33","22.52","5.14","***","32.85","0.69","37.58","3.54","31.82","325.1","27.9","6.5","76.6","***","747.1","20.2","66.8","8.8","***","92.1","347.3","380.8","491.8","***","111.9","5.0","1.7"
"1978100000","1978","09000","Tochigi-ken","","0.520","4.7","44.3","33.7","76.6","33.9","48.0","25.78","19.92","26.14","32.5","***","***","***","***","5.33","1.36","0.76","1.94","1.25","3.25","0.73","14.40","7.57","21.52","5.39","***","31.27","0.56","36.17","3.85","33.29","327.5","28.3","5.3","69.2","***","768.7","17.1","67.7","9.8","***","86.9","340.3","395.7","471.9","***","16.7","4.1","1.1"
"1978100000","1978","10000","Gumma-ken","","0.507","0.3","41.1","36.2","74.9","34.4","45.2","24.64","19.27","29.36","30.5","***","***","***","***","5.48","1.53","1.02","1.90","1.04","2.87","0.74","14.38","7.31","23.17","5.21","***","30.40","0.48","36.31","3.57","33.90","347.9","32.8","7.4","81.8","***","739.1","16.3","74.9","9.3","***","91.0","323.6","409.8","467.7","***","80.6","5.8","1.2"
"1978100000","1978","11000","Saitama-ken","","0.620","2.1","51.4","32.0","72.8","29.2","54.0","33.87","18.06","22.98","38.0","***","***","***","***","5.25","1.54","1.05","1.85","0.80","3.71","0.68","6.34","6.06","21.15","7.07","***","37.30","0.27","41.14","2.48","28.89","248.5","24.2","4.9","92.8","***","728.5","17.0","47.4","7.9","***","78.9","276.9","399.4","580.1","***","52.8","3.5","0.4"
"1978100000","1978","12000","Chiba-ken","","0.587","2.9","46.3","44.8","77.5","32.8","49.7","30.56","17.46","24.83","38.1","***","***","***","***","4.30","1.08","0.68","1.64","0.89","4.18","0.36","11.96","4.55","18.20","7.04","***","36.41","0.44","39.47","2.46","32.36","264.5","24.2","4.5","69.7","***","766.2","18.8","46.5","8.9","***","82.4","285.8","386.2","643.2","***","51.7","4.3","0.8"
"1978100000","1978","13000","Tokyo-to","","1.159","-7.9","75.2","75.8","106.1","15.3","61.7","61.68","0.00","10.90","76.8","***","***","***","***","7.54","3.14","1.98","2.12","0.29","8.18","0.86","0.42","3.70","18.89","10.22","***","19.75","0.02","37.86","1.89","14.99","345.1","49.8","11.6","137.2","***","981.2","26.6","60.3","23.0","***","76.2","326.8","415.6","547.3","***","76.6","3.8","0.1"
"1978100000","1978","14000","Kanagawa-ken","","0.915","1.5","66.2","52.4","91.2","19.1","59.0","52.72","4.68","18.52","52.1","***","***","***","***","4.57","1.73","0.99","1.45","0.39","4.87","1.25","3.72","5.07","13.10","11.64","***","39.29","0.04","48.39","2.43","18.82","252.9","27.1","6.5","84.1","***","810.9","23.7","52.7","11.9","***","69.1","278.9","351.3","633.8","***","16.4","2.6","0.1"
"1978100000","1978","15000","Niigata-ken","","0.374","0.5","27.7","46.2","72.9","43.8","43.3","17.64","24.27","34.71","28.9","***","***","***","***","3.70","0.61","0.81","1.38","0.84","3.64","0.47","16.97","2.80","24.94","4.26","***","29.09","3.76","33.99","2.40","39.89","402.6","34.3","4.6","80.1","***","761.5","22.3","87.9","9.6","***","98.3","377.4","434.4","496.8","***","59.4","5.4","12.6"
"1978100000","1978","16000","Toyama-ken","","0.413","3.1","33.0","54.0","69.6","39.6","46.0","19.89","24.25","29.31","34.4","***","***","***","***","4.05","0.79","0.94","1.84","0.47","3.26","0.74","18.08","5.02","22.13","4.87","***","28.01","1.70","34.80","2.04","37.89","389.0","35.7","5.0","90.6","***","911.5","20.3","78.7","11.2","***","91.3","341.2","380.9","524.4","***","64.5","7.0","5.6"
"1978100000","1978","17000","Ishikawa-ken","","0.410","1.4","37.2","44.6","73.3","40.1","45.3","19.95","24.02","26.43","33.4","***","***","***","***","4.69","0.91","1.12","1.89","0.76","3.53","0.65","16.14","6.82","24.66","4.73","***","25.63","1.37","31.28","2.46","38.58","414.8","41.4","5.5","97.4","***","893.3","20.7","90.7","10.9","***","94.4","362.5","398.2","499.9","***","32.8","7.3","5.0"
"1978100000","1978","18000","Fukui-ken","","0.367","3.7","32.0","52.5","76.7","40.2","45.7","17.83","25.54","30.46","32.3","***","***","***","***","5.08","1.64","1.01","1.71","0.72","3.82","0.74","18.64","4.87","22.78","4.77","***","25.63","1.32","33.59","2.89","38.67","448.1","42.0","8.3","87.7","***","793.2","21.1","91.8","12.3","***","101.0","376.3","420.4","471.2","***","93.1","7.9","4.4"
"1978100000","1978","19000","Yamanashi-ken","","0.299","1.2","26.5","45.6","76.5","39.8","46.0","14.77","29.22","32.87","25.0","***","***","***","***","5.73","1.38","1.25","1.62","1.48","3.52","0.63","17.05","4.98","21.85","4.77","***","28.56","1.48","36.20","3.58","38.31","417.4","38.5","6.5","84.0","***","1,002.7","20.7","80.1","11.4","***","103.0","351.3","439.1","461.6","***","22.1","6.2","4.3"
"1978100000","1978","20000","Nagano-ken","","0.433","0.8","35.8","39.6","74.8","36.3","45.8","21.45","22.89","30.44","31.1","***","***","***","***","5.55","1.33","1.27","1.47","1.47","3.01","0.97","15.29","6.93","22.76","4.59","***","29.61","0.68","35.73","3.93","35.48","387.7","41.8","8.3","98.1","***","877.2","20.2","77.9","9.2","***","92.3","345.7","401.0","484.3","***","37.9","6.4","2.4"
"1978100000","1978","21000","Gifu-ken","","0.459","4.5","37.9","43.4","68.5","40.6","47.9","22.06","23.49","28.08","30.4","***","***","***","***","4.31","1.11","0.93","1.61","0.66","2.69","0.35","14.84","5.94","24.16","5.02","***","29.17","0.74","34.12","2.71","39.80","347.9","29.6","5.4","74.8","***","860.2","17.1","74.9","9.2","***","88.2","317.5","368.6","397.4","***","72.7","5.6","2.0"
"1978100000","1978","22000","Shizuoka-ken","","0.708","2.5","49.3","48.3","73.2","34.5","50.7","35.24","13.38","27.52","37.6","***","***","***","***","4.10","1.08","0.84","1.57","0.59","3.38","0.45","12.47","3.64","21.57","6.46","***","33.08","1.74","39.11","2.98","32.79","292.7","24.4","4.6","68.0","***","752.6","18.1","63.9","9.4","***","78.5","303.4","378.6","444.2","***","82.8","4.7","3.6"
"1978100000","1978","23000","Aichi-ken","","0.940","0.4","62.7","46.7","86.2","27.2","52.4","48.12","3.35","21.43","50.0","***","***","***","***","4.86","1.77","1.17","1.52","0.39","4.07","0.93","8.50","7.24","18.67","8.70","***","33.66","0.20","41.51","2.83","26.84","302.9","33.1","6.8","97.6","***","843.4","21.2","65.3","12.1","***","79.5","307.0","359.4","506.8","***","38.8","4.0","0.4"
"1978100000","1978","24000","Mie-ken","","0.439","1.5","34.7","43.1","76.7","35.9","49.1","22.59","24.85","29.55","31.7","***","***","***","***","5.72","1.73","0.89","1.35","1.74","4.79","0.73","14.15","3.46","22.73","4.94","***","30.05","1.14","37.84","3.95","34.41","360.0","39.7","9.0","74.0","***","779.2","23.9","79.9","9.1","***","85.3","341.4","375.2","427.8","***","138.9","3.4","2.7"
"1978100000","1978","25000","Shiga-ken","","0.437","1.4","40.5","46.4","70.0","39.4","45.9","21.37","22.73","24.55","34.5","***","***","***","***","4.96","1.05","1.05","1.58","1.27","3.76","0.88","17.01","4.22","20.52","4.53","***","26.20","0.89","30.78","2.36","38.49","407.4","34.6","8.5","74.2","***","781.5","23.2","85.0","10.0","***","97.2","337.3","384.2","438.0","***","192.3","6.9","2.2"
"1978100000","1978","26000","Kyoto-fu","","0.634","0.5","48.3","40.2","72.4","25.1","59.1","37.25","20.60","22.60","45.6","***","***","***","***","5.97","2.28","1.11","1.42","1.16","3.52","1.85","5.88","5.30","14.87","11.98","***","37.23","0.46","47.44","2.26","23.62","317.2","45.3","9.1","86.9","***","755.8","23.2","58.7","15.6","***","80.7","317.9","392.2","654.9","***","74.1","4.2","1.0"
"1978100000","1978","27000","Osaka-fu","","0.961","-3.3","63.8","79.2","94.9","19.2","55.4","50.28","4.88","18.52","51.2","***","***","***","***","6.03","1.58","2.36","1.75","0.33","3.84","1.02","1.52","5.71","16.35","11.98","***","37.03","0.04","46.19","1.85","19.01","318.0","43.5","6.9","140.1","***","999.5","27.4","64.5","14.7","***","81.3","286.7","393.9","523.7","***","90.5","3.0","0.1"
"1978100000","1978","28000","Hyogo-ken","","0.632","0.9","47.2","68.9","81.2","28.7","50.5","31.81","16.86","24.96","43.3","***","***","***","***","4.86","1.21","1.43","1.44","0.76","3.29","1.16","7.62","3.52","20.30","8.62","***","34.44","2.06","41.87","2.08","26.42","338.9","36.9","7.3","103.1","***","819.5","23.9","77.4","12.4","***","82.4","297.6","367.1","556.9","***","134.0","4.4","4.3"
"1978100000","1978","29000","Nara-ken","","0.363","1.4","33.8","37.3","78.2","34.6","48.3","18.20","28.34","27.20","33.8","***","***","***","***","7.31","2.63","1.50","1.82","1.37","3.33","1.16","8.23","8.80","23.10","5.30","***","31.39","1.04","35.77","3.17","33.06","344.3","42.0","11.2","109.4","***","655.8","19.8","71.5","9.2","***","91.8","320.9","373.1","569.6","***","173.9","6.8","2.7"
"1978100000","1978","30000","Wakayama-ken","","0.361","0.5","30.6","37.8","78.7","32.0","47.6","17.35","28.59","30.14","28.2","***","***","***","***","9.42","4.41","1.34","1.95","1.72","4.05","0.77","14.25","5.62","19.44","5.02","***","29.34","1.00","39.90","4.18","30.76","416.0","52.7","16.5","99.2","***","718.9","23.4","89.5","10.9","***","92.4","350.2","421.3","414.3","***","98.0","4.3","3.6"
"1978100000","1978","31000","Tottori-ken","","0.262","1.6","26.1","44.2","74.1","42.8","40.1","11.28","27.42","33.66","26.6","***","***","***","***","5.59","1.18","1.17","1.95","1.28","3.69","0.54","18.73","8.35","25.65","4.17","***","22.35","0.88","28.98","3.40","41.78","533.4","50.9","10.2","97.7","***","739.2","24.8","120.9","13.5","***","101.5","359.9","438.4","529.3","***","79.9","9.6","3.3"
